"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1wins"
"105","2000-580","Australian Open","Hard","128","G",2000-01-17,"102437","Adrian Voinea","R",185,"ROU",25.44832307,95,420,"103720","Lleyton Hewitt","R",180,"AUS",18.89390828,17,1335,"5","N"
"106","2000-580","Australian Open","Hard","128","G",2000-01-17,"102035","Jonas Bjorkman","R",183,"SWE",27.81930185,76,518,"102796","Magnus Norman","R",188,"SWE",23.63312799,11,1655,"5","N"
"107","2000-580","Australian Open","Hard","128","G",2000-01-17,"101532","Francisco Clavet","L",183,"ESP",31.23066393,39,840,"101965","Wayne Ferreira","R",185,"RSA",28.3394935,53,705,"5","N"
"108","2000-580","Australian Open","Hard","128","G",2000-01-17,"102223","Karim Alami","R",185,"MAR",26.65023956,35,870,"103017","Nicolas Kiefer","R",183,"GER",22.53524983,4,2184,"5","N"
"109","2000-580","Australian Open","Hard","128","G",2000-01-17,"103096","Arnaud Clement","R",173,"FRA",22.08350445,54,694,"103819","Roger Federer","R",185,"SUI",18.4421629,62,620,"5","Y"
"110","2000-580","Australian Open","Hard","128","G",2000-01-17,"103507","Juan Carlos Ferrero","R",183,"ESP",19.92881588,40,807,"101962","Younes El Aynaoui","R",193,"MAR",28.34770705,29,991,"5","N"
"111","2000-580","Australian Open","Hard","128","G",2000-01-17,"103018","Max Mirnyi","R",196,"BLR",22.53251198,67,588,"103294","Christophe Rochus","R",170,"BEL",21.08966461,120,319,"5","N"
"112","2000-580","Australian Open","Hard","128","G",2000-01-17,"102338","Yevgeny Kafelnikov","R",190,"RUS",25.91101985,2,2915,"102905","Stefan Koubek","L",175,"AUT",23.03901437,43,799,"5","Y"
"113","2000-580","Australian Open","Hard","128","G",2000-01-17,"101736","Andre Agassi","R",180,"USA",29.71937029,1,4135,"102882","Mark Philippoussis","R",196,"AUS",23.19233402,19,1258,"5","Y"
"114","2000-580","Australian Open","Hard","128","G",2000-01-17,"102271","Hicham Arazi","L",175,"MAR",26.24503765,41,800,"102765","Nicolas Escude","R",185,"FRA",23.78918549,34,877,"5","Y"
"115","2000-580","Australian Open","Hard","128","G",2000-01-17,"101948","Pete Sampras","R",185,"USA",28.43258042,3,2419,"101792","Slava Dosedel","R",183,"CZE",29.42642026,64,603,"5","Y"
"116","2000-580","Australian Open","Hard","128","G",2000-01-17,"102162","Chris Woodruff","R",188,"USA",27.03901437,56,689,"102450","Tim Henman","R",185,"GBR",25.36344969,13,1507,"5","Y"
"117","2000-580","Australian Open","Hard","128","G",2000-01-17,"103720","Lleyton Hewitt","R",180,"AUS",18.89390828,17,1335,"102796","Magnus Norman","R",188,"SWE",23.63312799,11,1655,"5","N"
"118","2000-580","Australian Open","Hard","128","G",2000-01-17,"101965","Wayne Ferreira","R",185,"RSA",28.3394935,53,705,"103017","Nicolas Kiefer","R",183,"GER",22.53524983,4,2184,"5","N"
"119","2000-580","Australian Open","Hard","128","G",2000-01-17,"103096","Arnaud Clement","R",173,"FRA",22.08350445,54,694,"101962","Younes El Aynaoui","R",193,"MAR",28.34770705,29,991,"5","N"
"120","2000-580","Australian Open","Hard","128","G",2000-01-17,"102338","Yevgeny Kafelnikov","R",190,"RUS",25.91101985,2,2915,"103294","Christophe Rochus","R",170,"BEL",21.08966461,120,319,"5","Y"
"121","2000-580","Australian Open","Hard","128","G",2000-01-17,"101736","Andre Agassi","R",180,"USA",29.71937029,1,4135,"102271","Hicham Arazi","L",175,"MAR",26.24503765,41,800,"5","Y"
"122","2000-580","Australian Open","Hard","128","G",2000-01-17,"101948","Pete Sampras","R",185,"USA",28.43258042,3,2419,"102162","Chris Woodruff","R",188,"USA",27.03901437,56,689,"5","Y"
